Chan1 - Left		533-543
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	554	539	551	553	608	588	165249
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	553	537	548	548	605	584	165363
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	550	534	546	550	606	587	165477
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	548	536	554	554	605	593	165592
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	557	540	551	550	608	597	165705
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	551	538	548	549	604	598	165820
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	553	537	547	549	605	592	165934
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	548	535	551	551	605	587	166048
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	555	542	551	551	606	585	166162
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	550	537	549	550	606	587	166277
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	552	535	549	550	604	592	166390
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	548	537	551	550	607	598	166505
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	551	537	549	549	606	595	166620
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	554	537	549	549	607	592	166733
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	552	534	546	552	607	587	166848
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	548	539	552	553	609	586	166962
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	556	540	549	550	609	590	167076
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	549	536	551	553	607	593	167190
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	549	533	547	554	607	599	167305
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	547	539	554	552	606	595	167418
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	556	540	551	549	609	590	167533
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	553	539	548	549	605	586	167647
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	549	534	549	555	605	585	167761
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	549	540	552	552	610	590	167875
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	553	538	550	551	607	595	167990
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	554	536	550	550	606	598	168103
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	549	533	549	552	608	594	168218
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	550	542	553	552	608	590	168332
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	553	539	550	550	606	586	168446
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	555	539	549	550	608	590	168560
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	550	534	547	553	608	595	168675
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	546	540	552	552	606	598	168788
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	552	540	553	552	606	597	168903
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	552	537	551	548	605	591	169017
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	552	536	546	554	606	586	169132
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	548	543	552	552	609	586	169246
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	554	540	550	550	607	588	169360
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	554	536	547	550	607	593	169475
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	549	536	548	554	606	598	169588




Right			557-567
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	563	543	556	555	609	594	216410
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	564	539	552	552	609	590	216523
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	562	538	548	550	609	590	216638
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	562	534	555	556	609	591	216752
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	567	546	554	552	609	595	216866
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	562	539	551	552	609	600	216980
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	559	535	547	549	607	598	217095
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	557	534	554	555	609	592	217208
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	566	544	553	552	611	588	217323
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	565	542	552	551	609	588	217437
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	562	536	550	550	610	591	217551
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	557	536	557	554	609	596	217666
1 0 0 0 0 0 0 0 0 0 0 0 0 0 	562	541	553	555	609	600	217780
